"Індекси споживчих цін на товари та послуги
Consumer price indices for goods and services",,,,,,,,,,,,,,,,
"(до грудня 2010 року/
to December 2010)",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"(відсотків/
percent)                         ",
,,"Індекс споживчих цін/
Consumer price indices","Продукти харчування та безалкогольні напої/
Food and non-alcoholic beverages","Алкогольні напої, тютюнові вироби/
Alcoholic beverages, tobacco","Одяг і взуття/
Clothing and footwear","Житло, вода, електроенергія, газ та інші види палива/
Housing, water, electricity, gas and other fuels","Предмети домашнього вжитку, побутова техніка та поточне утримання житла/
Furnishings, household equipment and routine maintenance of the house","Охорона здоров'я/
Health","Транспорт/
Transport","Зв'язок/
Communi-cation","Відпочинок і культура/
Recreation and culture","Освіта/
Education","Ресторани та готелі/
Restaurants and hotels","Різні товари та послуги/
Miscellaneous goods and services",,
2008,Грудень,81.6,81.5,59.2,90.9,81.2,86.5,74.8,78.8,105.3,87.2,78.8,84.6,77.2,December,
2009,Січень,84.0,84.0,59.9,92.0,82.8,89.8,82.5,82.4,105.9,90.4,79.1,86.2,80.0,January,
2009,Лютий,85.2,85.2,61.9,93.0,83.4,92.2,86.8,84.0,106.1,92.2,79.2,87.4,82.6,February,
2009,Березень,86.4,86.5,63.4,94.0,83.8,94.8,89.1,84.8,106.3,93.9,79.6,88.4,84.8,March,
2009,Квітень,87.2,87.5,64.7,94.6,83.6,95.7,89.7,85.5,106.2,94.2,79.8,89.1,85.7,April,
2009,Травень,87.6,87.8,66.8,94.9,83.7,96.0,90.5,86.4,108.1,94.1,79.9,89.6,86.9,May,
2009,Червень,88.6,87.9,73.2,94.9,87.1,95.9,90.4,89.0,109.8,93.9,80.0,90.4,87.7,June,
2009,Липень,88.5,87.7,76.4,94.9,84.3,96.2,91.0,90.0,109.8,94.3,80.1,90.9,88.2,July,
2009,Серпень,88.3,86.6,78.1,95.1,84.4,96.6,91.2,92.2,109.8,95.0,80.2,91.2,88.7,August,
2009,Вересень,89.1,86.9,79.3,95.7,84.8,97.6,91.9,94.8,110.1,96.1,90.5,91.8,89.3,September,
2009,Жовтень,89.9,87.5,80.3,96.9,87.0,98.3,93.2,94.5,110.0,97.0,90.6,92.2,90.0,October,
2009,Листопад,90.8,88.9,81.2,97.5,87.7,98.8,94.1,95.3,109.8,97.2,90.6,92.6,90.8,November,
2009,Грудень,91.7,90.4,81.9,97.8,87.9,98.8,94.5,93.8,109.7,97.5,90.6,93.1,92.0,December,
2010,Січень,93.3,93.3,82.4,97.9,88.2,98.9,94.9,95.4,109.6,97.6,90.8,93.6,92.8,January,
2010,Лютий,95.1,96.6,84.0,97.9,88.4,98.8,95.8,97.1,101.5,97.9,90.9,94.4,93.8,February,
2010,Березень,95.9,97.8,86.5,98.0,88.4,98.6,96.2,97.6,101.4,98.1,91.1,94.9,94.4,March,
2010,Квітень,95.7,97.3,87.1,98.2,88.3,98.4,96.5,98.3,101.2,97.8,91.2,95.5,93.8,April,
2010,Травень,95.1,95.9,87.5,98.3,88.5,98.5,97.0,98.7,101.1,97.5,91.4,96.3,94.2,May,
2010,Червень,94.7,95.0,87.8,98.4,88.7,98.6,97.1,98.2,101.0,97.6,92.0,96.7,94.5,June,
2010,Липень,94.5,94.4,88.3,98.3,90.0,98.7,97.7,97.8,100.9,97.9,92.4,97.2,95.0,July,
2010,Серпень,95.6,94.3,91.5,98.3,98.6,98.8,98.1,98.1,100.8,98.2,92.6,97.5,95.3,August,
2010,Вересень,98.4,98.4,96.6,98.7,98.8,99.0,98.7,97.7,100.6,98.9,99.6,98.3,95.6,September,
